otu,genus,median_mda,iqr25,iqr75,min_mda,max_mda,other_model
Otu0021,Collinsella,1.0010015025043828,0,1.4083489588005667,-1.4145954078256668,2.9314576979573457,both
Otu0031,Erysipelotrichaceae_unclassified,1.0010015025043828,0,1.257779207273291,-1.698914471536634,2.5691571367250865,cycles
Otu0066,Erysipelotrichaceae_unclassified,1.0010015025043828,0,1.001001502504383,-1.0010015025043828,2.0666474723144876,neither
Otu0068,Blautia,1.0010015025043828,0,1.3228428623985575,-1.4138993974103442,2.4016551320784676,neither
Otu0069,Ruminococcaceae_unclassified,1.0010015025043828,0,1.001001502504383,-1.552127581033233,2.134163465982845,cycles
Otu0077,Enterobacteriaceae_unclassified,1.0010015025043828,0,1.289591936423824,-1.4138993974103442,2.0923386670473296,neither
Otu0097,Lactobacillales_unclassified,1.0010015025043828,0.3721557365913652,1.5400067409038622,-1.4170505031628393,2.62122682885269,neither
Otu0122,Bacillales_unclassified,1.0010015025043828,0,1.2998572571829328,-1.001001502504383,2.3843219726914238,neither
Otu0174,Blautia,1.0010015025043828,0,1.0010015025043828,-1.5109947130387482,2.094579115495352,neither
Otu0210,Bacillales_unclassified,1.0010015025043828,0,1.3894250359418208,-1.4170505031628393,2.2211940383058955,neither
Otu0309,Clostridiales_unclassified,1.0010015025043828,0,1.4936369113860388,-1.7261916993993134,2.751325880369459,neither
Otu0339,Listeria,1.0010015025043828,0,1.0010015025043828,-1.4138993974103442,2.436357728257247,neither
Otu0568,Porphyromonas,1.0010015025043828,0,1.2851327833447308,0,2.0428457482451448,neither
Otu0042,Coprococcus,0.7641867551020529,0,1.001001502504383,-1.9946879056255404,2.35246629385021,neither
Otu0036,Ruminococcus2,0.27737143519754925,0,1.0010015025043828,-1.725261218666305,2.4380305724199354,neither
Otu0001,Salmonella,0,0,0,-1.6636153460498986,1.7351959927389573,neither
Otu0004,Staphylococcus,0,0,0,-1.3894250359418208,1.4145954078256668,neither
Otu0010,Listeria,0,0,0,-1.4170505031628393,1.4170505031628393,polymerase
Otu0011,Bacillales_unclassified,0,0,0,-1.001001502504383,0,neither
Otu0016,Streptococcus,0,0,1.0010015025043828,-1.733975966813866,1.952643288123086,cycles
Otu0017,Lactobacillus,0,0,0,-1.9671690812731382,1.001001502504383,neither
Otu0020,Pseudomonas,0,0,0,-1.6807868547535283,1.4170505031628393,neither
Otu0024,Dorea,0,0,1.0010015025043828,-1.4170505031628393,1.7169324826229688,cycles
Otu0025,Ruminococcus,0,0,0,0,1.001001502504383,neither
Otu0028,Blautia,0,0,1.0010015025043828,-1.7324491727084592,2.1879986242107123,polymerase
Otu0029,Bacteroides,0,0,0,-1.6878398049904597,1.4027520938040878,cycles
Otu0032,Ruminococcaceae_unclassified,0,0,1.0010015025043828,-1.4170505031628393,1.675945688983949,polymerase
Otu0038,Clostridium_XI,0,0,0,-1.001001502504383,1.0010015025043828,neither
Otu0040,Blautia,0,0,1.0010015025043828,-1.384582799656251,1.6878398049904597,neither
Otu0051,Alistipes,0,0,0,-1.0010015025043828,1.4157076681470517,neither
Otu0056,Bacilli_unclassified,0,0,0,0,0,neither
Otu0064,Bacteroides,0,0,0,-1.4099899186081228,1.7304832670783128,neither
Otu0073,Firmicutes_unclassified,0,0,0,-1.0010015025043828,1.0010015025043828,neither
Otu0075,Ruminococcus,0,0,0,-1.4150840480027063,1.725261218666305,neither
Otu0081,Lachnospiraceae_unclassified,0,0,0,-1.4128598718239573,1.0010015025043828,neither
Otu0083,Alistipes,0,0,0,-1.4112077420496636,1.3954034154845465,polymerase
Otu0087,Streptococcus,0,0,0,0,0,neither
Otu0089,Bacilli_unclassified,0,0,0,-1.4162053968340107,1.4170505031628393,neither
Otu0091,Alistipes,0,0,1.0010015025043828,-1.389425035941821,1.9374738342809386,neither
Otu0101,Bacilli_unclassified,0,0,1.0010015025043828,-1.4170505031628393,1.7476689676231085,neither
Otu0109,Bifidobacterium,0,0,0,-1.001001502504383,1.0010015025043828,neither
Otu0111,Clostridium_XVIII,0,0,0,-1.001001502504383,1.001001502504383,neither
Otu0113,Ruminococcaceae_unclassified,0,0,1.0010015025043828,-1.001001502504383,2.150912475095882,cycles
Otu0119,Bacteroides,0,0,1.0010015025043828,-1.0010015025043828,1.7284214058006089,neither
Otu0120,Faecalibacterium,0,0,0,-1.0010015025043828,1.4145954078256668,neither
Otu0123,Bifidobacterium,0,0,1.0010015025043828,-1.417050503162839,2.1767033409289995,neither
Otu0124,Clostridium_XlVa,0,0,0,-1.0010015025043828,1.4170505031628393,neither
Otu0128,Akkermansia,0,0,0,-1.0010015025043828,1.001001502504383,neither
Otu0129,Ruminococcaceae_unclassified,0,0,0,-1.3745785629752902,1.001001502504383,neither
Otu0132,Dorea,0,0,0,0,0,neither
Otu0140,Bacillales_unclassified,0,0,0,0,0,neither
Otu0142,Streptococcus,0,0,0,-1.0010015025043828,1.4027520938040878,neither
Otu0143,Ruminococcaceae_unclassified,0,0,0,-1.001001502504383,1.693863195140971,neither
Otu0148,Veillonella,0,0,0,-1.0010015025043828,1.0010015025043828,neither
Otu0155,Bacteroides,0,0,0.493654465329886,-1.3954034154845465,1.6878878671699609,neither
Otu0162,Bacillales_unclassified,0,0,0,0,0,neither
Otu0167,Bacilli_unclassified,0,0,0,-1.0010015025043828,1.3440622799127366,neither
Otu0175,Bacteroides,0,0,1.0010015025043828,-1.389425035941821,2.0203765781195697,neither
Otu0177,Ruminococcaceae_unclassified,0,0,0,-1.0010015025043828,1.3894250359418208,neither
Otu0179,Coprococcus,0,0,1.0010015025043828,-1.001001502504383,2.0020860995619785,neither
Otu0184,Enterobacteriaceae_unclassified,0,0,0,-1.4145954078256668,1.7339759668138661,polymerase
Otu0185,Streptococcus,0,0,0,-1.0010015025043828,1.001001502504383,neither
Otu0186,Bacillales_unclassified,0,0,0,-1.001001502504383,1.7300341022375418,neither
Otu0191,Lachnospiraceae_unclassified,0,0,0,0,0,neither
Otu0212,Lachnospiraceae_unclassified,0,0,0,0,0,neither
Otu0213,Lachnospiraceae_unclassified,0,0,1.0010015025043828,-1.001001502504383,2.033101244256163,neither
Otu0214,Bacilli_unclassified,0,0,0,-1.0010015025043828,1.737270460208044,neither
Otu0221,Listeria,0,0,0,-1.001001502504383,1.6692846965576698,neither
Otu0230,Clostridium_XlVb,0,0,0,-1.001001502504383,1.4145954078256668,neither
Otu0234,Lachnospiraceae_unclassified,0,0,0,-1.0010015025043828,1.001001502504383,neither
Otu0236,Bacteroides,0,0,0,-1.001001502504383,1.001001502504383,neither
Otu0248,Bacillales_unclassified,0,0,0,-1.0010015025043828,1.2207743077147128,neither
Otu0259,Blautia,0,0,0,-1.001001502504383,1.001001502504383,neither
Otu0261,Lachnospiraceae_unclassified,0,0,0,-1.0010015025043828,1.0010015025043828,neither
Otu0262,Streptococcus,0,0,0,-1.001001502504383,1.3222557489638673,polymerase
Otu0270,Alistipes,0,0,0,-1.001001502504383,1.4170505031628393,neither
Otu0272,Ruminococcaceae_unclassified,0,0,0,0,0,neither
Otu0274,Firmicutes_unclassified,0,0,0,-1.0010015025043828,1.3954034154845465,neither
Otu0276,Lachnospiraceae_unclassified,0,0,0,-1.0010015025043828,1.4027520938040878,neither
Otu0287,Lachnospiraceae_unclassified,0,0,0,-1.0010015025043828,1.001001502504383,neither
Otu0294,Bifidobacterium,0,0,0,-1.2471092635198782,1.0010015025043828,neither
Otu0296,Lactobacillales_unclassified,0,0,0,-1.0010015025043828,1.7146968194032186,neither
Otu0318,Ruminococcaceae_unclassified,0,0,0,-1.001001502504383,1.7146968194032188,neither
Otu0319,Ruminococcaceae_unclassified,0,0,1.0010015025043828,-1.4099899186081228,2.303324104464752,neither
Otu0340,Bacillales_unclassified,0,0,0,-1.0010015025043828,1.3440622799127364,polymerase
Otu0347,Ruminococcaceae_unclassified,0,0,0,-1.001001502504383,1.7146968194032188,neither
Otu0349,Ruminococcaceae_unclassified,0,0,0,-1.3806213671586458,1.4138993974103442,neither
Otu0370,Clostridium_XlVb,0,0,0,-1.0010015025043828,1.406064427875448,neither
Otu0378,Clostridiales_unclassified,0,0,0,-1.0010015025043828,1.7280972526424387,neither
Otu0380,Ruminococcaceae_unclassified,0,0,0,-1.0010015025043828,1.5924352810305258,neither
Otu0385,Bacillales_unclassified,0,0,0,-1.0010015025043828,1.4170505031628393,neither
Otu0415,Clostridiales_unclassified,0,0,0,-1.3860873207073692,1.001001502504383,neither
Otu0426,Blautia,0,0,0,-1.389425035941821,1.7324491727084592,neither
Otu0428,Bacilli_unclassified,0,0,0,-1.0010015025043828,0,neither
Otu0509,Lactobacillales_unclassified,0,0,0,-1.001001502504383,1.4138993974103442,neither
Otu0525,Collinsella,0,0,0,-1.001001502504383,2.1877203320514513,neither
Otu0630,Clostridiales_unclassified,0,0,1.0010015025043828,-1.3976941536882017,1.6901815257373098,neither
Otu0652,Ruminococcaceae_unclassified,0,0,1.0010015025043828,-1.3831756669341582,2.0062702820892,neither
Otu0699,Bacillales_unclassified,0,0,0,-1.0010015025043828,1.5311019806938602,neither
Otu0733,Lactobacillales_unclassified,0,0,0,-1.0010015025043828,1.4170505031628393,neither
Otu0814,Eubacterium,0,0,1.0010015025043828,-1.4138993974103442,1.833826039095407,neither
